age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,poutcome,deposit
34,admin.,single,secondary,no,673,yes,no,cellular,29,jan,89,1,260,failure,no
52,unemployed,married,secondary,no,1416,no,no,cellular,10,mar,436,2,182,success,yes
54,management,divorced,tertiary,no,12018,yes,no,cellular,21,dec,267,2,-1,unknown,yes
32,blue-collar,single,secondary,no,15341,no,no,unknown,21,may,738,3,-1,unknown,no
30,admin.,divorced,secondary,no,83,yes,yes,unknown,6,may,310,1,-1,unknown,no
73,retired,married,primary,no,508,no,no,cellular,9,mar,176,1,-1,unknown,yes
34,admin.,single,secondary,no,1880,yes,no,unknown,23,may,297,1,-1,unknown,no
51,entrepreneur,married,secondary,no,-799,no,yes,cellular,15,jul,1001,3,-1,unknown,yes
39,management,married,secondary,no,2981,no,no,cellular,26,mar,200,1,-1,unknown,yes
43,technician,married,secondary,no,4056,no,no,cellular,4,may,13,6,89,failure,no
31,admin.,married,secondary,no,1130,yes,no,cellular,23,jul,236,5,-1,unknown,no
31,management,married,tertiary,no,1384,yes,no,cellular,30,jan,203,2,2,other,no
42,unknown,single,unknown,yes,61,no,no,unknown,20,jun,115,1,-1,unknown,no
41,technician,married,tertiary,no,-15,yes,no,cellular,6,may,33,1,-1,unknown,no
39,blue-collar,single,secondary,no,169,yes,no,unknown,9,may,38,1,-1,unknown,no
29,technician,single,tertiary,no,0,yes,no,cellular,7,may,347,2,337,failure,yes
54,technician,married,unknown,no,240,yes,no,cellular,29,oct,142,1,-1,unknown,yes
26,blue-collar,single,secondary,no,428,no,yes,cellular,7,jul,575,1,-1,unknown,no
45,admin.,married,secondary,no,3006,no,no,cellular,29,apr,388,2,-1,unknown,yes
37,management,married,tertiary,no,7100,no,no,cellular,20,nov,757,2,-1,unknown,no
30,management,married,tertiary,no,1221,yes,no,telephone,25,jul,279,4,-1,unknown,yes
29,entrepreneur,married,secondary,no,714,yes,yes,cellular,13,may,482,2,-1,unknown,yes
51,blue-collar,married,secondary,no,33,no,yes,unknown,16,jun,721,3,-1,unknown,yes
41,entrepreneur,married,primary,no,39,yes,no,cellular,21,nov,549,2,-1,unknown,yes
36,technician,single,secondary,no,1228,yes,no,cellular,4,may,303,3,-1,unknown,yes
78,retired,married,unknown,no,3208,no,no,telephone,20,may,351,3,-1,unknown,yes
31,management,single,tertiary,no,9421,no,no,cellular,25,nov,372,1,-1,unknown,yes
30,management,single,tertiary,no,3779,no,no,cellular,13,apr,1093,1,-1,unknown,yes
36,management,single,tertiary,no,442,yes,yes,cellular,29,jul,102,3,-1,unknown,no
44,technician,married,primary,no,755,no,yes,cellular,31,jul,829,4,-1,unknown,yes
77,retired,married,primary,no,3324,no,no,cellular,13,may,289,1,91,success,yes
46,technician,divorced,secondary,no,111,yes,no,cellular,19,nov,178,3,183,other,no
25,technician,single,secondary,no,1199,no,no,cellular,1,jun,287,1,-1,unknown,yes
32,housemaid,married,primary,no,-184,yes,no,cellular,6,feb,129,2,197,failure,no
53,services,divorced,secondary,no,0,no,no,cellular,12,mar,80,2,-1,unknown,yes
36,services,married,secondary,no,526,yes,no,cellular,17,apr,333,2,324,other,no
37,management,married,tertiary,no,2283,no,no,cellular,6,aug,303,2,92,success,yes
41,entrepreneur,married,secondary,no,707,no,no,unknown,18,jun,707,1,-1,unknown,yes
34,blue-collar,divorced,secondary,no,1125,yes,yes,cellular,19,nov,141,2,-1,unknown,no
32,management,married,tertiary,no,1388,yes,no,cellular,30,apr,753,1,-1,unknown,yes
30,entrepreneur,single,primary,no,0,yes,yes,unknown,27,may,1051,1,-1,unknown,yes
49,blue-collar,married,secondary,no,141,no,no,cellular,6,aug,275,1,-1,unknown,no
25,student,single,secondary,no,348,no,no,cellular,10,aug,245,1,-1,unknown,yes
37,blue-collar,married,secondary,no,374,yes,no,unknown,7,may,944,3,-1,unknown,no
50,technician,married,secondary,no,416,yes,no,unknown,5,jun,494,5,-1,unknown,yes
46,technician,married,unknown,no,605,yes,no,cellular,20,apr,780,2,-1,unknown,no
52,unemployed,married,secondary,no,5091,no,no,cellular,26,may,309,1,-1,unknown,no
30,blue-collar,single,secondary,no,148,no,no,cellular,2,apr,206,1,-1,unknown,no
42,management,married,tertiary,no,144,no,no,cellular,4,mar,148,1,87,failure,yes
48,blue-collar,married,secondary,no,7408,no,yes,cellular,4,feb,101,2,-1,unknown,no
47,technician,married,secondary,no,0,no,no,unknown,11,nov,74,1,-1,unknown,no
31,technician,single,secondary,no,2388,no,no,cellular,5,aug,123,1,-1,unknown,no
25,blue-collar,single,primary,no,2483,no,no,cellular,10,jul,1499,3,-1,unknown,yes
24,student,single,tertiary,no,834,no,no,cellular,9,sep,679,1,-1,unknown,yes
60,management,married,secondary,no,0,no,no,cellular,20,may,321,4,87,failure,no
55,retired,married,primary,no,2,no,no,unknown,27,jun,392,4,-1,unknown,no
58,unemployed,married,secondary,no,687,yes,no,cellular,7,aug,221,1,99,success,yes
42,management,married,tertiary,no,294,no,no,cellular,26,aug,513,1,-1,unknown,yes
43,management,divorced,unknown,no,7702,no,no,cellular,22,may,460,1,95,success,yes
34,management,married,tertiary,no,520,yes,no,cellular,12,aug,1307,4,-1,unknown,yes
34,management,married,tertiary,no,118,no,yes,telephone,17,jul,171,3,-1,unknown,no
30,blue-collar,single,secondary,no,228,no,no,cellular,5,feb,232,1,365,failure,no
62,retired,married,secondary,no,3114,no,no,cellular,18,may,243,2,186,success,yes
33,management,married,tertiary,no,22867,yes,no,cellular,10,aug,73,1,440,failure,no
35,services,married,tertiary,no,4564,no,no,cellular,18,aug,45,6,-1,unknown,no
40,blue-collar,divorced,secondary,no,-426,no,yes,unknown,26,may,245,1,-1,unknown,no
32,admin.,single,secondary,no,4344,yes,no,cellular,17,nov,79,2,118,failure,no
59,retired,married,primary,no,0,yes,no,cellular,28,jul,20,4,-1,unknown,no
60,retired,divorced,secondary,no,514,no,no,cellular,15,oct,187,2,213,success,yes
54,blue-collar,married,secondary,no,506,yes,no,cellular,18,nov,172,2,104,failure,no
55,unemployed,married,secondary,no,1436,yes,no,cellular,4,feb,969,2,-1,unknown,no
29,unemployed,single,secondary,no,1055,no,no,cellular,23,sep,427,1,603,failure,yes
46,technician,married,secondary,no,536,yes,no,unknown,16,jun,750,2,-1,unknown,yes
86,retired,divorced,unknown,no,157,no,no,telephone,7,sep,147,1,-1,unknown,no
32,blue-collar,married,secondary,yes,-238,yes,no,unknown,27,may,427,1,-1,unknown,no
40,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,1692,2,-1,unknown,yes
35,blue-collar,married,primary,no,105,yes,no,unknown,8,may,369,2,-1,unknown,no
60,management,married,tertiary,no,79,no,no,unknown,11,jun,48,3,-1,unknown,no
77,retired,married,primary,no,2590,no,no,telephone,13,nov,212,3,277,failure,yes
42,services,single,secondary,no,3403,yes,no,cellular,7,aug,215,1,99,failure,yes
30,admin.,single,secondary,no,313,yes,no,cellular,4,feb,1121,2,-1,unknown,yes
40,admin.,married,secondary,no,-666,yes,no,unknown,27,may,107,2,-1,unknown,no
34,blue-collar,single,primary,no,79,no,no,telephone,10,jul,336,4,-1,unknown,yes
53,retired,married,secondary,no,665,yes,no,cellular,22,apr,371,2,-1,unknown,yes
23,student,single,secondary,no,1809,no,no,cellular,8,jul,414,2,-1,unknown,yes
30,management,single,tertiary,yes,35,no,no,cellular,30,jul,185,4,-1,unknown,no
40,technician,divorced,tertiary,no,568,yes,no,unknown,24,oct,112,1,-1,unknown,yes
30,management,married,tertiary,no,1942,yes,yes,cellular,21,nov,436,2,178,other,yes
32,entrepreneur,married,tertiary,no,0,yes,yes,cellular,18,nov,95,1,-1,unknown,no
32,blue-collar,single,secondary,no,435,yes,no,unknown,21,may,373,2,-1,unknown,no
47,admin.,single,secondary,no,594,yes,no,unknown,7,may,161,1,-1,unknown,no
54,management,divorced,tertiary,no,5475,no,no,cellular,21,oct,1032,1,91,success,yes
44,services,married,secondary,no,191,yes,yes,cellular,7,may,490,1,-1,unknown,no
35,technician,married,tertiary,no,432,no,no,cellular,12,aug,104,8,-1,unknown,no
30,technician,married,secondary,no,289,yes,no,cellular,14,aug,1184,4,-1,unknown,yes
28,technician,single,tertiary,no,0,yes,no,cellular,15,apr,217,2,-1,unknown,no
53,blue-collar,married,secondary,no,-76,no,no,cellular,29,jan,173,1,164,other,no
37,blue-collar,married,unknown,no,-1050,yes,no,unknown,2,jun,548,2,-1,unknown,no
38,technician,single,tertiary,no,0,no,no,cellular,28,aug,247,2,-1,unknown,no
42,management,married,tertiary,no,6060,yes,no,cellular,30,apr,316,1,350,failure,yes
25,services,single,secondary,no,594,no,no,cellular,4,jun,89,2,-1,unknown,yes
58,housemaid,married,primary,no,1310,yes,yes,cellular,22,jul,1226,2,-1,unknown,no
35,technician,single,secondary,no,1227,no,no,cellular,18,mar,593,4,90,other,yes
38,blue-collar,single,secondary,no,-56,yes,yes,unknown,6,jun,247,2,-1,unknown,no
52,management,married,tertiary,no,4675,no,no,cellular,12,feb,181,3,-1,unknown,yes
32,management,single,tertiary,no,3283,no,no,cellular,12,aug,623,2,191,success,yes
35,management,divorced,tertiary,no,26,no,no,cellular,16,apr,78,2,-1,unknown,yes
24,admin.,single,secondary,no,166,no,no,cellular,10,sep,256,2,-1,unknown,yes
26,self-employed,single,tertiary,no,2857,no,no,cellular,3,jul,446,1,-1,unknown,yes
52,admin.,married,secondary,no,722,no,no,cellular,26,oct,99,2,185,failure,no
32,management,single,tertiary,no,0,no,no,cellular,22,aug,148,2,-1,unknown,no
50,management,married,tertiary,no,3463,no,yes,cellular,28,oct,96,1,-1,unknown,yes
43,services,married,tertiary,no,4216,no,no,cellular,24,dec,150,2,195,success,yes
41,unknown,single,tertiary,no,1567,no,no,cellular,1,jul,291,2,-1,unknown,no
43,blue-collar,single,secondary,no,740,yes,no,unknown,20,jun,585,2,-1,unknown,yes
56,blue-collar,married,primary,no,827,yes,no,telephone,15,may,462,4,-1,unknown,yes
33,technician,single,secondary,no,18,no,no,cellular,22,aug,93,2,-1,unknown,no
56,management,married,tertiary,no,12356,yes,no,cellular,26,may,410,1,551,other,yes
28,admin.,single,unknown,no,24,yes,no,cellular,18,jul,415,2,-1,unknown,yes
32,services,married,secondary,no,250,yes,no,unknown,29,may,202,1,-1,unknown,no
38,housemaid,divorced,secondary,no,70,no,no,cellular,27,jan,164,4,92,success,yes
80,retired,divorced,primary,no,235,no,no,cellular,31,mar,577,1,223,other,yes
45,services,single,secondary,no,1515,no,no,unknown,20,jun,14,4,-1,unknown,no
34,services,single,secondary,no,528,yes,no,cellular,2,sep,121,3,100,other,yes
56,admin.,married,secondary,no,510,yes,no,cellular,10,jul,288,1,-1,unknown,no
